Process_ID,Arrival_Time_AT,Burst_Time_BT,Quantum,FCFS_CT_DT,FCFS_TAT_TT,FCFS_WT,FCFS_RT,RR_CT_DT,RR_TAT_TT,RR_WT,RR_RT,SPF_CT_DT,SPF_TAT_TT,SPF_WT,SPF_RT,SRT_CT_DT,SRT_TAT_TT,SRT_WT,SRT_RT
P272,322,13,3,2877,2555,2542,2542,4731,4731,4718,778,2057,1735,1722,1722,2057,1735,1722,1722
P273,325,4,3,2881,2556,2552,2552,2074,2074,2070,781,331,6,2,2,331,6,2,2
P274,326,20,3,2901,2575,2555,2555,5363,5363,5343,784,5177,4851,4831,4831,5177,4851,4831,4831
P275,326,18,3,2919,2593,2575,2575,5183,5183,5165,787,4237,3911,3893,3893,4237,3911,3893,3893
P276,327,7,3,2926,2599,2592,2592,3188,3188,3181,790,473,146,139,139,473,146,139,139
P277,327,15,3,2941,2614,2599,2599,4740,4740,4725,793,2740,2413,2398,2398,2740,2413,2398,2398
P278,330,15,3,2956,2626,2611,2611,4743,4743,4728,796,2755,2425,2410,2410,2755,2425,2410,2410
P279,330,16,3,2972,2642,2626,2626,5184,5184,5168,799,3161,2831,2815,2815,3161,2831,2815,2815
P280,333,2,3,2974,2641,2639,2639,804,804,802,802,338,5,3,3,335,2,0,0
P281,333,11,3,2985,2652,2641,2641,4090,4090,4079,804,1473,1140,1129,1129,1473,1140,1129,1129
P282,336,9,3,2994,2658,2649,2649,3203,3203,3194,807,992,656,647,647,992,656,647,647
P283,338,20,3,3014,2676,2656,2656,5365,5365,5345,810,5197,4859,4839,4839,5197,4859,4839,4839
P284,338,15,3,3029,2691,2676,2676,4752,4752,4737,813,2770,2432,2417,2417,2770,2432,2417,2417
P285,341,9,3,3038,2697,2688,2688,3212,3212,3203,816,1001,660,651,651,1001,660,651,651
P286,344,11,3,3049,2705,2694,2694,4098,4098,4087,819,1484,1140,1129,1129,1484,1140,1129,1129
P287,347,9,3,3058,2711,2702,2702,3218,3218,3209,822,1010,663,654,654,1010,663,654,654
P288,348,16,3,3074,2726,2710,2710,5188,5188,5172,825,3177,2829,2813,2813,3177,2829,2813,2813
P289,348,17,3,3091,2743,2726,2726,5190,5190,5173,828,3640,3292,3275,3275,3640,3292,3275,3275
P290,349,10,3,3101,2752,2742,2742,4105,4105,4095,831,1274,925,915,915,1274,925,915,915
P291,350,13,3,3114,2764,2751,2751,4759,4759,4746,834,2070,1720,1707,1707,2070,1720,1707,1707
P292,350,13,3,3127,2777,2764,2764,4760,4760,4747,837,2083,1733,1720,1720,2083,1733,1720,1720
P293,351,14,3,3141,2790,2776,2776,4762,4762,4748,840,2436,2085,2071,2071,2436,2085,2071,2071
P294,351,16,3,3157,2806,2790,2790,5191,5191,5175,843,3193,2842,2826,2826,3193,2842,2826,2826
P295,351,15,3,3172,2821,2806,2806,4768,4768,4753,846,2785,2434,2419,2419,2785,2434,2419,2419
P296,353,5,3,3177,2824,2819,2819,2139,2139,2134,849,368,15,10,10,368,15,10,10
P297,353,2,3,3179,2826,2824,2824,854,854,852,852,358,5,3,3,355,2,0,0
P298,354,9,3,3188,2834,2825,2825,3245,3245,3236,854,1019,665,656,656,1019,665,656,656
P299,355,4,3,3192,2837,2833,2833,2143,2143,2139,857,363,8,4,4,363,8,4,4
P300,357,17,3,3209,2852,2835,2835,5193,5193,5176,860,3657,3300,3283,3283,3657,3300,3283,3283
P301,357,17,3,3226,2869,2852,2852,5195,5195,5178,863,3674,3317,3300,3300,3674,3317,3300,3300
P302,358,1,3,3227,2869,2868,2868,867,867,866,866,359,1,0,0,359,1,0,0
P303,360,12,3,3239,2879,2867,2867,4129,4129,4117,867,1844,1484,1472,1472,1844,1484,1472,1472
P304,361,11,3,3250,2889,2878,2878,4131,4131,4120,870,1495,1134,1123,1123,1495,1134,1123,1123
P305,362,9,3,3259,2897,2888,2888,3260,3260,3251,873,1028,666,657,657,1028,666,657,657
P306,364,11,3,3270,2906,2895,2895,4133,4133,4122,876,1506,1142,1131,1131,1506,1142,1131,1131
P307,365,20,3,3290,2925,2905,2905,5367,5367,5347,879,5217,4852,4832,4832,5217,4852,4832,4832
P308,367,5,3,3295,2928,2923,2923,2166,2166,2161,882,373,6,1,1,373,6,1,1
P309,368,8,3,3303,2935,2927,2927,3268,3268,3260,885,774,406,398,398,774,406,398,398
P310,369,14,3,3317,2948,2934,2934,4779,4779,4765,888,2450,2081,2067,2067,2450,2081,2067,2067
P311,370,15,3,3332,2962,2947,2947,4782,4782,4767,891,2800,2430,2415,2415,2800,2430,2415,2415
P312,370,15,3,3347,2977,2962,2962,4785,4785,4770,894,2815,2445,2430,2430,2815,2445,2430,2430
P313,372,6,3,3353,2981,2975,2975,2181,2181,2175,897,379,7,1,1,379,7,1,1
P314,375,6,3,3359,2984,2978,2978,2184,2184,2178,900,409,34,28,28,409,34,28,28
P315,375,11,3,3370,2995,2984,2984,4147,4147,4136,903,1517,1142,1131,1131,1517,1142,1131,1131
P316,377,4,3,3374,2997,2993,2993,2188,2188,2184,906,385,8,4,4,385,8,4,4
P317,377,2,3,3376,2999,2997,2997,911,911,909,909,381,4,2,2,381,4,2,2
P318,377,9,3,3385,3008,2999,2999,3283,3283,3274,911,1037,660,651,651,1037,660,651,651
P319,380,19,3,3404,3024,3005,3005,5368,5368,5349,914,4668,4288,4269,4269,4668,4288,4269,4269
P320,380,16,3,3420,3040,3024,3024,5202,5202,5186,917,3209,2829,2813,2813,3209,2829,2813,2813
P321,382,20,3,3440,3058,3038,3038,5370,5370,5350,920,5237,4855,4835,4835,5237,4855,4835,4835
P322,384,3,3,3443,3059,3056,3056,926,926,923,923,388,4,1,1,388,4,1,1
P323,384,5,3,3448,3064,3059,3059,2202,2202,2197,926,403,19,14,14,403,19,14,14
P324,385,4,3,3452,3067,3063,3063,2203,2203,2199,929,392,7,3,3,392,7,3,3
P325,386,9,3,3461,3075,3066,3066,3295,3295,3286,932,1046,660,651,651,1046,660,651,651
P326,387,11,3,3472,3085,3074,3074,4158,4158,4147,935,1528,1141,1130,1130,1528,1141,1130,1130
P327,389,10,3,3482,3093,3083,3083,4159,4159,4149,938,1284,895,885,885,1284,895,885,885
P328,391,4,3,3486,3095,3091,3091,2213,2213,2209,941,396,5,1,1,397,6,2,1
P329,394,1,3,3487,3093,3092,3092,945,945,944,944,397,3,2,2,395,1,0,0
P330,397,9,3,3496,3099,3090,3090,3304,3304,3295,945,1055,658,649,649,1055,658,649,649
P331,397,1,3,3497,3100,3099,3099,949,949,948,948,398,1,0,0,398,1,0,0
P332,400,19,3,3516,3116,3097,3097,5371,5371,5352,949,4687,4287,4268,4268,4687,4287,4268,4268
P333,401,8,3,3524,3123,3115,3115,3309,3309,3301,952,782,381,373,373,782,381,373,373
P334,403,7,3,3531,3128,3121,3121,3310,3310,3303,955,480,77,70,70,480,77,70,70
P335,405,10,3,3541,3136,3126,3126,4163,4163,4153,958,1294,889,879,879,1294,889,879,879
P336,406,7,3,3548,3142,3135,3135,3314,3314,3307,961,505,99,92,92,508,102,95,92
P337,408,14,3,3562,3154,3140,3140,4799,4799,4785,964,2464,2056,2042,2042,2464,2056,2042,2042
P338,411,15,3,3577,3166,3151,3151,4802,4802,4787,967,2830,2419,2404,2404,2830,2419,2404,2404
P339,412,17,3,3594,3182,3165,3165,5210,5210,5193,970,3691,3279,3262,3262,3691,3279,3262,3262
P340,413,9,3,3603,3190,3181,3181,3326,3326,3317,973,1064,651,642,642,1064,651,642,642
P341,414,13,3,3616,3202,3189,3189,4806,4806,4793,976,2096,1682,1669,1669,2096,1682,1669,1669
P342,415,20,3,3636,3221,3201,3201,5373,5373,5353,979,5257,4842,4822,4822,5257,4842,4822,4822
P343,415,20,3,3656,3241,3221,3221,5375,5375,5355,982,5277,4862,4842,4842,5277,4862,4842,4842
P344,418,17,3,3673,3255,3238,3238,5218,5218,5201,985,3708,3290,3273,3273,3708,3290,3273,3273
P345,419,4,3,3677,3258,3254,3254,2256,2256,2252,988,427,8,4,4,427,8,4,4
P346,419,15,3,3692,3273,3258,3258,4818,4818,4803,991,2845,2426,2411,2411,2845,2426,2411,2411
P347,420,17,3,3709,3289,3272,3272,5220,5220,5203,994,3725,3305,3288,3288,3725,3305,3288,3288
P348,421,13,3,3722,3301,3288,3288,4822,4822,4809,997,2109,1688,1675,1675,2109,1688,1675,1675
P349,422,16,3,3738,3316,3300,3300,5221,5221,5205,1000,3225,2803,2787,2787,3225,2803,2787,2787
P350,423,15,3,3753,3330,3315,3315,4828,4828,4813,1003,2860,2437,2422,2422,2860,2437,2422,2422
P351,423,4,3,3757,3334,3330,3330,2272,2272,2268,1006,431,8,4,4,431,8,4,4
P352,425,14,3,3771,3346,3332,3332,4830,4830,4816,1009,2478,2053,2039,2039,2478,2053,2039,2039
P353,426,16,3,3787,3361,3345,3345,5222,5222,5206,1012,3241,2815,2799,2799,3241,2815,2799,2799
P354,427,5,3,3792,3365,3360,3360,2280,2280,2275,1015,436,9,4,4,436,9,4,4
P355,428,14,3,3806,3378,3364,3364,4835,4835,4821,1018,2492,2064,2050,2050,2492,2064,2050,2050
P356,431,14,3,3820,3389,3375,3375,4837,4837,4823,1021,2506,2075,2061,2061,2506,2075,2061,2061
P357,431,13,3,3833,3402,3389,3389,4838,4838,4825,1024,2122,1691,1678,1678,2122,1691,1678,1678
P358,432,8,3,3841,3409,3401,3401,3370,3370,3362,1027,790,358,350,350,790,358,350,350
P359,434,10,3,3851,3417,3407,3407,4215,4215,4205,1030,1304,870,860,860,1304,870,860,860
P360,436,2,3,3853,3417,3415,3415,1035,1035,1033,1033,438,2,0,0,438,2,0,0
P361,437,6,3,3859,3422,3416,3416,2298,2298,2292,1035,444,7,1,1,444,7,1,1
P362,439,13,3,3872,3433,3420,3420,4839,4839,4826,1038,2135,1696,1683,1683,2135,1696,1683,1683
P363,439,7,3,3879,3440,3433,3433,3377,3377,3370,1041,542,103,96,96,542,103,96,96
P364,441,16,3,3895,3454,3438,3438,5223,5223,5207,1044,3257,2816,2800,2800,3257,2816,2800,2800
P365,442,8,3,3903,3461,3453,3453,3382,3382,3374,1047,798,356,348,348,798,356,348,348
P366,443,6,3,3909,3466,3460,3460,2313,2313,2307,1050,450,7,1,1,450,7,1,1
P367,446,17,3,3926,3480,3463,3463,5225,5225,5208,1053,3742,3296,3279,3279,3742,3296,3279,3279
P368,446,4,3,3930,3484,3480,3480,2317,2317,2313,1056,454,8,4,4,454,8,4,4
P369,447,7,3,3937,3490,3483,3483,3386,3386,3379,1059,569,122,115,115,573,126,119,115
P370,448,4,3,3941,3493,3489,3489,2321,2321,2317,1062,458,10,6,6,458,10,6,6
P371,449,13,3,3954,3505,3492,3492,4846,4846,4833,1065,2148,1699,1686,1686,2148,1699,1686,1686
P372,452,18,3,3972,3520,3502,3502,5228,5228,5210,1068,4255,3803,3785,3785,4255,3803,3785,3785
P373,452,9,3,3981,3529,3520,3520,3395,3395,3386,1071,1073,621,612,612,1073,621,612,612
P374,452,13,3,3994,3542,3529,3529,4850,4850,4837,1074,2161,1709,1696,1696,2161,1709,1696,1696
P375,454,10,3,4004,3550,3540,3540,4234,4234,4224,1077,1314,860,850,850,1314,860,850,850
P376,456,6,3,4010,3554,3548,3548,2339,2339,2333,1080,466,10,4,4,466,10,4,4
P377,458,2,3,4012,3554,3552,3552,1085,1085,1083,1083,460,2,0,0,460,2,0,0
P378,460,8,3,4020,3560,3552,3552,3403,3403,3395,1085,806,346,338,338,806,346,338,338
P379,461,19,3,4039,3578,3559,3559,5376,5376,5357,1088,4706,4245,4226,4226,4706,4245,4226,4226
P380,462,12,3,4051,3589,3577,3577,4240,4240,4228,1091,1856,1394,1382,1382,1856,1394,1382,1382
P381,464,17,3,4068,3604,3587,3587,5233,5233,5216,1094,3759,3295,3278,3278,3759,3295,3278,3278
P382,465,10,3,4078,3613,3603,3603,4244,4244,4234,1097,1324,859,849,849,1324,859,849,849
P383,466,17,3,4095,3629,3612,3612,5235,5235,5218,1100,3776,3310,3293,3293,3776,3310,3293,3293
P384,466,11,3,4106,3640,3629,3629,4249,4249,4238,1103,1539,1073,1062,1062,1539,1073,1062,1062
P385,466,7,3,4113,3647,3640,3640,3422,3422,3415,1106,580,114,107,107,584,118,111,107
P386,467,19,3,4132,3665,3646,3646,5377,5377,5358,1109,4725,4258,4239,4239,4725,4258,4239,4239
P387,469,18,3,4150,3681,3663,3663,5241,5241,5223,1112,4273,3804,3786,3786,4273,3804,3786,3786
P388,472,15,3,4165,3693,3678,3678,4868,4868,4853,1115,2875,2403,2388,2388,2875,2403,2388,2388
P389,475,6,3,4171,3696,3690,3690,2375,2375,2369,1118,488,13,7,7,488,13,7,7
P390,477,19,3,4190,3713,3694,3694,5378,5378,5359,1121,4744,4267,4248,4248,4744,4267,4248,4248
P391,478,11,3,4201,3723,3712,3712,4263,4263,4252,1124,1550,1072,1061,1061,1550,1072,1061,1061
P392,480,2,3,4203,3723,3721,3721,1129,1129,1127,1127,482,2,0,0,482,2,0,0
P393,482,16,3,4219,3737,3721,3721,5245,5245,5229,1129,3273,2791,2775,2775,3273,2791,2775,2775
P394,483,14,3,4233,3750,3736,3736,4876,4876,4862,1132,2520,2037,2023,2023,2520,2037,2023,2023
P395,484,17,3,4250,3766,3749,3749,5247,5247,5230,1135,3793,3309,3292,3292,3793,3309,3292,3292
P396,485,5,3,4255,3770,3765,3765,2392,2392,2387,1138,493,8,3,3,495,10,5,3
P397,488,14,3,4269,3781,3767,3767,4881,4881,4867,1141,2534,2046,2032,2032,2534,2046,2032,2032
P398,489,7,3,4276,3787,3780,3780,3450,3450,3443,1144,605,116,109,109,605,116,109,109
P399,489,15,3,4291,3802,3787,3787,4884,4884,4869,1147,2890,2401,2386,2386,2890,2401,2386,2386
P400,490,2,3,4293,3803,3801,3801,1152,1152,1150,1150,495,5,3,3,492,2,0,0
P401,491,7,3,4300,3809,3802,3802,3454,3454,3447,1152,626,135,128,128,626,135,128,128
P402,492,19,3,4319,3827,3808,3808,5379,5379,5360,1155,4763,4271,4252,4252,4763,4271,4252,4252
P403,492,14,3,4333,3841,3827,3827,4889,4889,4875,1158,2548,2056,2042,2042,2548,2056,2042,2042
P404,492,3,3,4336,3844,3841,3841,1164,1164,1161,1161,498,6,3,3,498,6,3,3
P405,495,12,3,4348,3853,3841,3841,4287,4287,4275,1164,1868,1373,1361,1361,1868,1373,1361,1361
P406,496,12,3,4360,3864,3852,3852,4290,4290,4278,1167,1880,1384,1372,1372,1880,1384,1372,1372
P407,498,13,3,4373,3875,3862,3862,4890,4890,4877,1170,2174,1676,1663,1663,2174,1676,1663,1663
P408,501,2,3,4375,3874,3872,3872,1175,1175,1173,1173,508,7,5,5,503,2,0,0
P409,501,6,3,4381,3880,3874,3874,2422,2422,2416,1175,527,26,20,20,527,26,20,20
P410,501,4,3,4385,3884,3880,3880,2423,2423,2419,1178,512,11,7,7,512,11,7,7
P411,503,11,3,4396,3893,3882,3882,4295,4295,4284,1181,1561,1058,1047,1047,1561,1058,1047,1047
P412,505,1,3,4397,3892,3891,3891,1185,1185,1184,1184,506,1,0,0,506,1,0,0
P413,507,5,3,4402,3895,3890,3890,2428,2428,2423,1185,521,14,9,9,521,14,9,9
P414,508,16,3,4418,3910,3894,3894,5251,5251,5235,1188,3289,2781,2765,2765,3289,2781,2765,2765
P415,509,3,3,4421,3912,3909,3909,1194,1194,1191,1191,515,6,3,3,515,6,3,3
P416,509,16,3,4437,3928,3912,3912,5252,5252,5236,1194,3305,2796,2780,2780,3305,2796,2780,2780
P417,509,15,3,4452,3943,3928,3928,4899,4899,4884,1197,2905,2396,2381,2381,2905,2396,2381,2381
P418,512,7,3,4459,3947,3940,3940,3482,3482,3475,1200,633,121,114,114,633,121,114,114
P419,514,8,3,4467,3953,3945,3945,3484,3484,3476,1203,814,300,292,292,814,300,292,292
P420,515,1,3,4468,3953,3952,3952,1207,1207,1206,1206,516,1,0,0,516,1,0,0
P421,517,12,3,4480,3963,3951,3951,4307,4307,4295,1207,1892,1375,1363,1363,1892,1375,1363,1363
P422,517,17,3,4497,3980,3963,3963,5254,5254,5237,1210,3810,3293,3276,3276,3810,3293,3276,3276
P423,519,8,3,4505,3986,3978,3978,3492,3492,3484,1213,822,303,295,295,822,303,295,295
P424,520,19,3,4524,4004,3985,3985,5380,5380,5361,1216,4782,4262,4243,4243,4782,4262,4243,4243
P425,521,9,3,4533,4012,4003,4003,3498,3498,3489,1219,1082,561,552,552,1082,561,552,552
P426,522,10,3,4543,4021,4011,4011,4314,4314,4304,1222,1334,812,802,802,1334,812,802,802
P427,524,6,3,4549,4025,4019,4019,2464,2464,2458,1225,533,9,3,3,535,11,5,3
P428,526,16,3,4565,4039,4023,4023,5258,5258,5242,1228,3321,2795,2779,2779,3321,2795,2779,2779
P429,527,18,3,4583,4056,4038,4038,5261,5261,5243,1231,4291,3764,3746,3746,4291,3764,3746,3746
P430,528,7,3,4590,4062,4055,4055,3508,3508,3501,1234,640,112,105,105,640,112,105,105
P431,529,11,3,4601,4072,4061,4061,4322,4322,4311,1237,1572,1043,1032,1032,1572,1043,1032,1032
P432,530,2,3,4603,4073,4071,4071,1242,1242,1240,1240,535,5,3,3,532,2,0,0
P433,530,17,3,4620,4090,4073,4073,5263,5263,5246,1242,3827,3297,3280,3280,3827,3297,3280,3280
P434,531,10,3,4630,4099,4089,4089,4326,4326,4316,1245,1344,813,803,803,1344,813,803,803
P435,533,13,3,4643,4110,4097,4097,4915,4915,4902,1248,2187,1654,1641,1641,2187,1654,1641,1641
P436,534,11,3,4654,4120,4109,4109,4331,4331,4320,1251,1583,1049,1038,1038,1583,1049,1038,1038
P437,535,14,3,4668,4133,4119,4119,4917,4917,4903,1254,2562,2027,2013,2013,2562,2027,2013,2013
P438,537,6,3,4674,4137,4131,4131,2494,2494,2488,1257,548,11,5,5,548,11,5,5
P439,538,14,3,4688,4150,4136,4136,4919,4919,4905,1260,2576,2038,2024,2024,2576,2038,2024,2024
P440,540,12,3,4700,4160,4148,4148,4340,4340,4328,1263,1904,1364,1352,1352,1904,1364,1352,1352
P441,541,17,3,4717,4176,4159,4159,5265,5265,5248,1266,3844,3303,3286,3286,3844,3303,3286,3286
P442,543,17,3,4734,4191,4174,4174,5267,5267,5250,1269,3861,3318,3301,3301,3861,3318,3301,3301
P443,545,6,3,4740,4195,4189,4189,2509,2509,2503,1272,554,9,3,3,554,9,3,3
P444,547,20,3,4760,4213,4193,4193,5382,5382,5362,1275,5297,4750,4730,4730,5297,4750,4730,4730
P445,549,11,3,4771,4222,4211,4211,4351,4351,4340,1278,1594,1045,1034,1034,1594,1045,1034,1034
P446,551,18,3,4789,4238,4220,4220,5273,5273,5255,1281,4309,3758,3740,3740,4309,3758,3740,3740
P447,553,2,3,4791,4238,4236,4236,1286,1286,1284,1284,556,3,1,1,556,3,1,1
P448,554,9,3,4800,4246,4237,4237,3550,3550,3541,1286,1091,537,528,528,1091,537,528,528
P449,554,9,3,4809,4255,4246,4246,3553,3553,3544,1289,1100,546,537,537,1100,546,537,537
P450,556,6,3,4815,4259,4253,4253,2527,2527,2521,1292,562,6,0,0,562,6,0,0
P451,557,9,3,4824,4267,4258,4258,3556,3556,3547,1295,1109,552,543,543,1109,552,543,543
P452,558,19,3,4843,4285,4266,4266,5383,5383,5364,1298,4801,4243,4224,4224,4801,4243,4224,4224
P453,560,20,3,4863,4303,4283,4283,5385,5385,5365,1301,5317,4757,4737,4737,5317,4757,4737,4737
P454,560,18,3,4881,4321,4303,4303,5282,5282,5264,1304,4327,3767,3749,3749,4327,3767,3749,3749
P455,562,19,3,4900,4338,4319,4319,5386,5386,5367,1307,4820,4258,4239,4239,4820,4258,4239,4239
P456,563,4,3,4904,4341,4337,4337,2543,2543,2539,1310,573,10,6,6,567,4,0,0
P457,563,8,3,4912,4349,4341,4341,3570,3570,3562,1313,830,267,259,259,830,267,259,259
P458,563,17,3,4929,4366,4349,4349,5287,5287,5270,1316,3878,3315,3298,3298,3878,3315,3298,3298
P459,565,9,3,4938,4373,4364,4364,3576,3576,3567,1319,1118,553,544,544,1118,553,544,544
P460,566,13,3,4951,4385,4372,4372,4947,4947,4934,1322,2200,1634,1621,1621,2200,1634,1621,1621
P461,568,20,3,4971,4403,4383,4383,5388,5388,5368,1325,5337,4769,4749,4749,5337,4769,4749,4749
P462,569,16,3,4987,4418,4402,4402,5291,5291,5275,1328,3337,2768,2752,2752,3337,2768,2752,2752
P463,570,16,3,5003,4433,4417,4417,5292,5292,5276,1331,3353,2783,2767,2767,3353,2783,2767,2767
P464,570,17,3,5020,4450,4433,4433,5294,5294,5277,1334,3895,3325,3308,3308,3895,3325,3308,3308
P465,572,13,3,5033,4461,4448,4448,4960,4960,4947,1337,2213,1641,1628,1628,2213,1641,1628,1628
P466,574,10,3,5043,4469,4459,4459,4388,4388,4378,1340,1354,780,770,770,1354,780,770,770
P467,575,19,3,5062,4487,4468,4468,5389,5389,5370,1343,4839,4264,4245,4245,4839,4264,4245,4245
P468,576,19,3,5081,4505,4486,4486,5390,5390,5371,1346,4858,4282,4263,4263,4858,4282,4263,4263
P469,576,2,3,5083,4507,4505,4505,1351,1351,1349,1349,582,6,4,4,578,2,0,0
P470,579,2,3,5085,4506,4504,4504,1353,1353,1351,1351,584,5,3,3,581,2,0,0
P471,579,11,3,5096,4517,4506,4506,4396,4396,4385,1353,1605,1026,1015,1015,1605,1026,1015,1015
P472,581,20,3,5116,4535,4515,4515,5392,5392,5372,1356,5357,4776,4756,4756,5357,4776,4756,4756
P473,582,6,3,5122,4540,4534,4534,2588,2588,2582,1359,598,16,10,10,598,16,10,10
P474,584,4,3,5126,4542,4538,4538,2589,2589,2585,1362,588,4,0,0,588,4,0,0
P475,584,18,3,5144,4560,4542,4542,5306,5306,5288,1365,4345,3761,3743,3743,4345,3761,3743,3743
P476,587,2,3,5146,4559,4557,4557,1370,1370,1368,1368,590,3,1,1,590,3,1,1
P477,588,2,3,5148,4560,4558,4558,1372,1372,1370,1370,592,4,2,2,592,4,2,2
P478,590,20,3,5168,4578,4558,4558,5394,5394,5374,1372,5377,4787,4767,4767,5377,4787,4767,4767
P479,592,13,3,5181,4589,4576,4576,4976,4976,4963,1375,2226,1634,1621,1621,2226,1634,1621,1621
P480,595,14,3,5195,4600,4586,4586,4978,4978,4964,1378,2590,1995,1981,1981,2590,1995,1981,1981
P481,596,16,3,5211,4615,4599,4599,5310,5310,5294,1381,3369,2773,2757,2757,3369,2773,2757,2757
P482,596,10,3,5221,4625,4615,4615,4415,4415,4405,1384,1364,768,758,758,1364,768,758,758
P483,597,10,3,5231,4634,4624,4624,4416,4416,4406,1387,1374,777,767,767,1374,777,767,767
P484,598,9,3,5240,4642,4633,4633,3633,3633,3624,1390,1127,529,520,520,1127,529,520,520
P485,600,9,3,5249,4649,4640,4640,3636,3636,3627,1393,1136,536,527,527,1136,536,527,527
P486,600,9,3,5258,4658,4649,4649,3639,3639,3630,1396,1145,545,536,536,1145,545,536,536
P487,601,16,3,5274,4673,4657,4657,5311,5311,5295,1399,3385,2784,2768,2768,3385,2784,2768,2768
P488,601,4,3,5278,4677,4673,4673,2623,2623,2619,1402,609,8,4,4,609,8,4,4
P489,601,19,3,5297,4696,4677,4677,5395,5395,5376,1405,4877,4276,4257,4257,4877,4276,4257,4257
P490,601,7,3,5304,4703,4696,4696,3646,3646,3639,1408,647,46,39,39,647,46,39,39
P491,601,9,3,5313,4712,4703,4703,3649,3649,3640,1411,1154,553,544,544,1154,553,544,544
P492,603,20,3,5333,4730,4710,4710,5397,5397,5377,1414,5397,4794,4774,4774,5397,4794,4774,4774
P493,605,6,3,5339,4734,4728,4728,2638,2638,2632,1417,615,10,4,4,619,14,8,4
P494,607,7,3,5346,4739,4732,4732,3653,3653,3646,1420,654,47,40,40,654,47,40,40
P495,608,12,3,5358,4750,4738,4738,4428,4428,4416,1423,1916,1308,1296,1296,1916,1308,1296,1296
P496,609,11,3,5369,4760,4749,4749,4430,4430,4419,1426,1616,1007,996,996,1616,1007,996,996
P497,609,12,3,5381,4772,4760,4760,4433,4433,4421,1429,1928,1319,1307,1307,1928,1319,1307,1307
P498,609,12,3,5393,4784,4772,4772,4436,4436,4424,1432,1940,1331,1319,1319,1940,1331,1319,1319
P499,610,4,3,5397,4787,4783,4783,2654,2654,2650,1435,619,9,5,5,614,4,0,0
